,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
737,REODAR                                            ,Others,2017-06-21 15:05:38.370,Others,SIROHI,RAIN POSSIBILITY IN NEXT  3-4  DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
738,PINDWARA                                          ,Fodder Crops,2017-06-21 19:57:12.430,Guar,SIROHI,"VARIETY OF GUAR = RGC-1066, RGC-936, RGC-1017, RGC 1055, RGC 1038, HG-365, HG 2-20",TELL ME VAREITY OF GUAR ?,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
739,PINDWARA                                          ,Others,2017-06-21 20:30:45.907,Others,SIROHI,LIGHT RAIN MAY BE AFTER 2-3 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
740,REODAR                                            ,Others,2017-06-21 21:38:04.407,Others,SIROHI,RAIN FALL POSSIBLE IN NEXT 3-4 DAYS IN YOR DISTIC,TELL ME WEATHER INFORMATION,Weather,KHARIF,AGRICULTURE,RAJASTHAN
741,SHEOGANJ                                          ,Others,2017-06-21 21:41:33.900,Others,SIROHI,RAIN FALL POSSIBLE IN NEXT 3-4 DAYS IN YOR DISTIC,TELL ME WEATHER INFORMATION,Weather,KHARIF,AGRICULTURE,RAJASTHAN
742,SHEOGANJ                                          ,Millets,2017-06-21 21:51:42.417,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
743,SHEOGANJ                                          ,Others,2017-06-22 09:57:15.660,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
744,REODAR                                            ,Others,2017-06-22 11:32:37.187,Others,SIROHI,RAIN POSSIBILITY UPTO NEXT    5 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
745,REODAR                                            ,Others,2017-06-22 19:28:18.537,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
746,SIROHI                                            ,Others,2017-06-23 07:28:17.433,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
747,REODAR                                            ,Others,2017-06-23 11:09:45.370,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
748,REODAR                                            ,Pulses,2017-06-23 11:15:06.817,Green Gram (Moong Bean/ Moong),SIROHI,"VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344",TELL ME VARIETY OF MOONG,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
749,SHEOGANJ                                          ,Others,2017-06-23 13:15:27.910,Others,SIROHI,LIGHT RAIN MAY BE AFTER 5 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
